ID bài viết,ID Trang,Tên Trang,Tiêu đề,Mô tả,Thời lượng (giây),Thời gian đăng,Loại chú thích,Liên kết vĩnh viễn,Là nội dung đăng chéo,Là bài viết chia sẻ,Loại bài viết,Ngôn ngữ,Nhãn tùy chỉnh,Trạng thái nội dung được tài trợ,Bình luận về dữ liệu,Ngày,Lượt hiển thị,Số người tiếp cận,"Cảm xúc, bình luận và lượt chia sẻ",Cảm xúc,Bình luận,Lượt chia sẻ,Số phản hồi tiêu cực từ người dùng: Ẩn tất cả,Số phản hồi tiêu cực từ người dùng: Ẩn,Tổng số lượt click,Lượt click khác,Tổng số lượt click của người dùng khớp với đối tượng nhắm mục tiêu (Photo Click),Lượt click vào liên kết,Lượt hiển thị từ Bài viết tự nhiên,Lượt hiển thị từ Bài viết đã quảng cáo,Số người tiếp cận từ Bài viết tự nhiên,Số người tiếp cận từ Bài viết đã quảng cáo,Lượt xem video trong tối thiểu 3 giây,Lượt xem video trong tối thiểu 1 phút,Số người xem trong tối thiểu 3 giây,Số người xem trong tối thiểu 1 phút,Lượt xem video trong tối thiểu 3 giây từ Bài viết đã quảng cáo,Lượt xem video trong tối thiểu 3 giây từ Bài viết tự nhiên,Lượt xem video trong tối thiểu 1 phút từ Đề xuất,Lượt xem video trong tối thiểu 1 phút từ Lượt chia sẻ,Lượt xem video trong tối thiểu 1 phút từ Người theo dõi,Lượt xem video trong tối thiểu 1 phút từ Bài viết đã quảng cáo,Số Giây xem từ Đề xuất,Số Giây xem từ Lượt chia sẻ,Số Giây xem từ Người theo dõi,Số Giây xem từ Bài viết đã quảng cáo,Số Giây xem trung bình từ Đề xuất,Số Giây xem trung bình từ Lượt chia sẻ,Số Giây xem trung bình từ Người theo dõi,Số Giây xem trung bình từ Bài viết đã quảng cáo,Người dùng đã tương tác,Số phản hồi tiêu cực từ người dùng,Số phản hồi tiêu cực của người dùng,Số Giây xem,Số Giây xem trung bình,Thu nhập ước tính ((USD)),CPM quảng cáo ((USD)),Lượt hiển thị quảng cáo,"Lượt xem theo đối tượng liên quan nhất (F, 18-24)","Lượt xem theo đối tượng liên quan nhất (F, 25-34)","Lượt xem theo đối tượng liên quan nhất (F, 35-44)","Lượt xem theo đối tượng liên quan nhất (M, 18-24)","Lượt xem theo đối tượng liên quan nhất (M, 25-34)","Lượt xem theo đối tượng liên quan nhất (F, 45-54)","Lượt xem theo đối tượng liên quan nhất (M, 35-44)","Lượt xem theo đối tượng liên quan nhất (F, 55-64)","Lượt xem theo đối tượng liên quan nhất (M, 45-54)","Lượt xem theo đối tượng liên quan nhất (F, 65+)","Lượt xem theo đối tượng liên quan nhất (M, 65+)","Lượt xem theo đối tượng liên quan nhất (M, 55-64)"
8.57E+14,1.01E+14,Fanpage ,,Đùa chẳng vui đâu em nhé :))))),0,11/28/2023 10:36,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid0XpY9Ygi5JkNRSphT1RMNNe8MMTDHFt4NxKmL2JTPdJzgAUM4qnkmW3aM5UfwbHkl,0,0,Ảnh,,,,,Trọn đời,111358,109557,1610,1569,32,9,1,,4336,3915,421,,111358,0,109557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5157,1,1,,,,,,,,,,,,,,,,,
8.57E+14,1.01E+14,Fanpage ,Kim Yoo Jung hay còn gọi là Mẫn Nhi ❤,Kim Yoo Jung hay còn gọi là Mẫn Nhi ❤,35,11/28/2023 11:58,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid033nDSH63HgayhiTQj8yoEVEcFaL2HZKjDMqNgoPdF9JaXCf8zRLARkVxeUC6upRw4l,0,0,Video,,,,,Trọn đời,2068519,1941767,56596,55575,654,367,5,3,137730,137156,,574,2068519,0,1941767,0,1105119,0,1105118,0,0,1105118,0,0,0,0,26387608.49,45297.385,1024318.078,0,14.15,8.118,14.579,0,169593,8,8,27457223.95,14.147,0,0,0,313723,382151,113053,58929,79057,11535,24052,2825,2443,2220,921,663
8.57E+14,1.01E+14,Fanpage ,,"Nơi nào có AcMa như này cho iem order với ạaaa 🤤

#mydemon",77,11/28/2023 15:56,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid03UxnAkEKhmfduVPPFErZdAvhh7YM7dKUnEXKwfDKY2DbkL2ursEkbtcEkjkTSHChl,0,0,Video,,,,,Trọn đời,13963,13279,432,402,19,11,,,403,403,,,13963,0,13279,0,5037,121,4924,120,0,5037,0,0,0,0,49906.888,617.748,25484.797,0,7.212,3.613,6.017,0,731,0,0,76009.433,6.71,0,0,0,1934,1258,424,312,173,48,38,8,6,8,2,1
8.57E+14,1.01E+14,Fanpage ,,Style Tân cổ giao duyên 🧐🧐,0,11/28/2023 16:29,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid0136eUFByuw4y2AzGy8zsD6CXJycyWNKsqV7mHN2HaGG6bLr2bJfocrvzV2PAaZhgl,0,0,Ảnh,,,,,Trọn đời,517670,517670,9862,9546,133,183,6,1,49323,43219,6104,,517670,0,517670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49233,7,7,,,,,,,,,,,,,,,,,
8.57E+14,1.01E+14,Fanpage ,,Chợt nhìn anh xa tầm với...,0,11/28/2023 17:13,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid0TyEpfyH9ULWJMpDiYvnQjfdWfgw6vSensKyijMfoToKPaFuT4bhTW3geq14uLn5tl,0,0,Ảnh,,,,,Trọn đời,21766,21706,,521,4,6,,,505,363,142,,21766,0,21706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943,0,0,,,,,,,,,,,,,,,,,
8.57E+14,1.01E+14,Fanpage ,,Ebe này lạ quá :))))),0,11/28/2023 18:01,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid0SfLcVb1yw4JRmjWGqhAEgmWBrynYsuuwRdPXp9RcySUTdtsXPbX4gmBuBDWAx3yNl,0,0,Ảnh,,,,,Trọn đời,4360630,4068333,131101,120991,7519,2591,48,1,187686,178465,9221,,4360630,0,4068333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248811,49,49,,,,,,,,,,,,,,,,,
8.57E+14,1.01E+14,Fanpage ,,"Cuối cùng vẫn phải rời đi cùng với sự cô đơn không một chút lưu luyến...

#StrongGirlNamsoon",109,11/28/2023 18:51,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid02btaNiQSAbvx9r28qYZa3s3NMBhp8YeVfXw26zRonoiVWjzRHotrQpM5x8c9yoeSGl,0,0,Video,,,,,Trọn đời,112382,110795,2752,2673,50,29,,3,8962,8931,,31,112382,0,110795,0,62465,13006,62465,12971,0,62465,0,0,0,0,1704642.72,539.528,319717.312,0,20.215,4.996,16.46,0,10129,3,3,2024899.56,19.496,0,0,0,24375,21705,4129,2691,1631,284,309,72,46,94,24,19
8.57E+14,1.01E+14,Fanpage ,,Phim nào cổ trang mà có anh Bae In Hyuk là thấy có điềm 🫠,77,11/28/2023 19:34,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid0uhGVz47ChKw47JmvEAMYyTjNxvJc3MeTuvrke3qDVS2Ah2fWpTejGWyffwYjUtjdl,0,0,Video,,,,,Trọn đời,1012616,969355,19833,18502,204,1127,1,4,73682,73484,,198,1012616,0,969355,0,630248,195370,612708,195278,0,630248,0,0,0,0,20236208.72,21595.23,1549304.407,0,23.021,4.762,24.287,0,83666,5,5,21807108.35,23.018,0,0,0,232195,246064,54666,18106,17635,4047,4008,809,593,967,253,166
8.57E+14,1.01E+14,Fanpage ,,"Nói dzay cho anh khoải làm zá với em đókkk 😌

#mydemon",0,11/28/2023 20:00,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid03m1t1JY6LKvuxbMrqqkqeaczvZ6MCcjH4C8yJxiNdW6dmbUKERKVeYkpsU3HBJuPl,0,0,Ảnh,,,,,Trọn đời,73106,73106,1740,1702,27,11,1,,1279,1114,165,,73106,0,73106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2734,1,1,,,,,,,,,,,,,,,,,
8.57E+14,1.01E+14,Fanpage ,,"Still cuts mới cho bộ phim ""Deaths Game"" với sự tham gia của Seo In Guk, Go Youn Jung và Lee Do Hyun ✨",0,11/28/2023 20:28,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid02bPR9WHvLj46ry7DHmnaeDYhntA3PK8PoYrMMWVVkTHnWHiWPGR2UDpv9z6PvH1wdl,0,0,Ảnh,,,,,Trọn đời,127455,126987,3475,3348,83,44,,,6440,5898,542,,127455,0,126987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8199,0,0,,,,,,,,,,,,,,,,,
8.57E+14,1.01E+14,Fanpage ,,Chị bé chọn kịch bản thì chỉ có đỉnh thuii❤️,87,11/29/2023 8:48,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid02FSzSzF2pDqXs8j25WH3sUwTLNtShve4LXXWVU8vQCESmALq8EBaJSAA7H1z1zLeFl,0,0,Video,,,,,Trọn đời,142184,142184,3120,3031,23,66,,2,8083,8080,,3,142184,0,142184,0,90551,27078,90551,26794,0,90551,0,0,0,0,2861165.466,495.325,513666.351,0,27.168,5.504,22.559,0,9941,2,2,3375327.142,26.333,0,0,0,34341,34939,9335,1813,1505,545,404,101,70,155,25,14
8.57E+14,1.01E+14,Fanpage ,,"Rồi mọi thứ đều trở về nguyên vẹn, người không tốt đều phải trả zá cả thôi...

#StrongGirlNamsoon",110,11/29/2023 12:19,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid02HoHWjAwYptmwc487UyUak2P3z5SaZ8PpwxmFzyagFVsJjV2vHNcT2fscCVxq7ZRel,0,0,Video,,,,,Trọn đời,98343,95941,1860,1822,21,17,,,4533,4523,,10,98343,0,95941,0,43651,9437,43600,9300,0,43651,0,0,0,0,1336365.146,946.183,48463.766,0,15.78,12.45,11.821,0,5927,0,0,1385775.095,15.593,0,0,0,15942,12023,2767,3791,1891,264,326,65,52,74,25,14
8.57E+14,1.01E+14,Fanpage ,,"Át wỷ bị trộm đồ sờ sờ mà vẫn chịu, hông lấy lại được mới tứ c chứ 🤣",40,11/29/2023 14:55,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid035ymmPoa41z7pcUHvAH33n3MpUJx4h2dz56mE3BxPnskgqBppnT6syky1koKnrwzGl,0,0,Video,,,,,Trọn đời,167040,159215,4135,4106,10,19,,1,7298,7271,,27,167040,0,159215,0,92245,0,92245,0,0,92245,0,0,0,0,1850140.098,70.524,130972.439,0,12.961,4.149,12.576,0,10176,1,1,1981183.061,12.933,0,0,0,33355,25841,8235,4307,2286,745,606,136,101,146,38,27
8.57E+14,1.01E+14,Fanpage ,,"Still trong phim mới ""PAMYO"" của Lee Do Hyun và Kim Go Eun",0,11/29/2023 17:30,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid03vdK8NbMsYmy6CY4C4DU7tA7GnUDEM7CrTyfputCAJggqHmW2qXthwApUa5AMqPxl,0,0,Ảnh,,,,,Trọn đời,136363,133978,2660,2605,43,12,2,,5374,5036,338,,136363,0,133978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6819,2,2,,,,,,,,,,,,,,,,,
8.57E+14,1.01E+14,Fanpage ,Lật mặt nhanh vậy anh trai,Lật mặt nhanh vậy anh trai,47,11/29/2023 20:00,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid02Q9m4JyR99VBXeb8HQVxwEML4wL889oHKE4Xnxj4MfG1rvgzcmRnVCKD6jHAQamGMl,0,0,Video,,,,,Trọn đời,235264,231417,6627,6526,43,58,,1,11883,11822,,61,235264,0,231417,0,127790,0,127790,0,0,127790,0,0,0,0,2180499.921,2811.357,415599.353,0,12.131,6.112,12.835,0,16157,1,1,2598910.631,12.224,0,0,0,36052,30043,10588,17638,12177,1202,2640,213,320,191,135,86
8.57E+14,1.01E+14,Fanpage ,,"Cặp đôi thanh mai trúc mã trong “WELCOME TO SAMDALRI” 

#JiChangWook #ShinHyeSun",0,11/29/2023 21:00,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid0td21nXufXMU6wVp4VeXisfqB7dL76qgx6347sUgTmVk3Pfm3BUZQcndwiZt7BC5ul,0,0,Ảnh,,,,,Trọn đời,10865,10865,151,149,0,2,,,111,44,67,,10865,0,10865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,,,,,,,,,,,,,,,,,
