LoaiBaiViet,TGĐang,SoNguoiTC,TongLC,TongNTT,TongCXBLCS
Ảnh,13:30,363830.0,145741.0,104086.0,3825.0
Ảnh,14:00,28925.0,1427.0,2121.0,6883.051666666666
Video,15:50,624151.0,52266.0,54562.0,13369.0
Ảnh,16:26,92852.0,12997.0,12058.0,2273.0
Ảnh,16:56,64847.0,8513.0,9151.0,2291.0
Video,18:00,433739.0,40834.0,39748.0,6243.0
Ảnh,19:00,146034.0,25286.0,23593.0,3727.0
Video,19:43,222081.0,16843.0,18376.0,3201.0
Video,21:44,41536.0,19025.241465445462,1426.0,487.0
Ảnh,07:20,272679.0,50804.0,47295.0,9340.0
Ảnh,10:41,58348.0,9389.0,9997.0,2497.0
Ảnh,12:41,8572.0,19025.241465445462,2057.0,1920.0
Ảnh,13:00,39709.0,6377.0,6055.0,6883.051666666666
Ảnh,14:27,135557.0,57890.0,38695.0,4527.0
Ảnh,17:45,91439.0,15242.0,17339.0,7516.0
Video,14:37,175005.0,12298.0,15451.0,5837.0
Ảnh,21:30,94757.0,3984.0,4827.0,1624.0
Ảnh,10:21,569551.0,65618.0,70453.0,23949.0
Ảnh,11:00,38710.0,19025.241465445462,4349.0,1226.0
Video,12:05,2391344.0,279338.0,278626.0,56093.0
Ảnh,15:03,7045.0,19025.241465445462,2113.0,1896.0
Video,12:44,26632.0,1444.0,1711.0,483.0
Ảnh,15:57,72744.0,2788.0,3847.0,1642.0
Ảnh,17:00,77372.0,5689.0,6812.0,1847.0
Video,16:32,219529.0,16006.0,17680.0,3625.0
Video,11:14,18182.0,19025.241465445462,1078.0,6883.051666666666
Ảnh,12:04,369040.0,45346.0,47252.0,9649.0
Video,17:52,78837.0,10723.0,11384.0,2389.0
Video,19:26,29366.0,1736.0,2437.0,6883.051666666666
Ảnh,20:07,48309.0,19025.241465445462,3381.0,1122.0
Ảnh,20:42,388067.0,20848.0,20799.0,3489.0
Video,12:07,275432.0,18078.0,23056.0,7896.0
Ảnh,17:03,29178.0,19025.241465445462,1331.0,6883.051666666666
Ảnh,19:07,166831.0,7061.0,10499.0,5305.0
Ảnh,19:30,50965.0,19025.241465445462,2033.0,6883.051666666666
Ảnh,20:01,109717.0,10575.0,10774.0,2426.0
Ảnh,20:30,25526.0,516.0,1006.0,632.0
Ảnh,21:00,19299.0,19025.241465445462,1141.0,513.0
Video,12:09,71948.0,6140.0,6563.0,1343.0
Ảnh,12:35,94681.0,3183.0,4902.0,2659.0
Video,18:36,111127.0,9885.0,10303.0,1754.0
Ảnh,21:00,121604.0,4979.0,7664.0,4033.0
Ảnh,21:30,49537.0,1646.0,2408.0,1233.0
Video,09:45,171039.0,7301.0,13407.0,7477.0
Video,13:37,22932.0,19025.241465445462,1487.0,6883.051666666666
Ảnh,18:00,61102.0,1613.0,2491.0,1325.0
Ảnh,20:03,56049.0,2417.0,4112.0,2684.0
Ảnh,08:43,191587.0,6049.0,11933.0,7998.0
Video,10:27,53981.0,4554.0,5276.0,6883.051666666666
Ảnh,14:09,216996.0,9025.0,13858.0,7924.0
Ảnh,17:57,121630.0,8410.0,10658.0,4880.0
Video,20:00,432403.0,26613.0,32145.0,10991.0
Ảnh,21:00,544741.0,29110.0,40602.0,16792.0
Video,10:49,188821.0,20566.0,20678.0,4616.0
